season,week,manager,pts,R,RBI,SB,BB,HBP,1B,2B,3B,HR,TB
2021,1,Boyce,340,62,46,7,41,7,0,0,0,0,149
2021,1,Ulmer,374,60,64,7,36,6,0,0,0,0,182
2021,1,Garth,329.5,53,51,0,52,6,0,0,0,0,177
2021,1,Chris,249.5,38,44,4,32,6,0,0,0,0,115
2021,1,Andy,248.5,46,31,6,32,3,0,0,0,0,130
2021,1,Sam,330.5,55,43,12,44,8,0,0,0,0,167
2021,1,Howard,318,52,54,2,38,5,0,0,0,0,157
2021,1,Rich,281,46,41,7,32,8,0,0,0,0,146
2021,1,Rouse,320,40,46,9,41,6,0,0,0,0,131
2021,1,Dave,319.5,56,48,3,46,6,0,0,0,0,156
2021,2,Boyce,126,20,18,1,16,2,0,0,0,0,76
2021,2,Ulmer,226,37,35,4,28,6,0,0,0,0,113
2021,2,Garth,179,25,32,3,30,4,0,0,0,0,83
2021,2,Chris,179,32,25,2,21,4,0,0,0,0,96
2021,2,Andy,171.5,26,29,2,18,1,0,0,0,0,94
2021,2,Sam,265.5,50,34,10,36,4,0,0,0,0,113
2021,2,Howard,221.5,34,37,6,24,4,0,0,0,0,106
2021,2,Rich,169,25,27,4,26,9,0,0,0,0,79
2021,2,Rouse,190.5,31,26,7,29,4,0,0,0,0,92
2021,2,Dave,216,40,32,3,25,3,0,0,0,0,102
2021,3,Boyce,279,48,40,9,23,3,0,0,0,0,143
2021,3,Ulmer,163,26,27,3,24,1,0,0,0,0,77
2021,3,Garth,203.5,37,28,1,36,6,0,0,0,0,100
2021,3,Chris,146,22,25,0,26,3,0,0,0,0,75
2021,3,Andy,204,31,32,5,25,3,0,0,0,0,107
2021,3,Sam,195,29,31,9,24,4,0,0,0,0,85
2021,3,Howard,208,28,39,7,22,4,0,0,0,0,92
2021,3,Rich,219.5,36,36,5,17,1,0,0,0,0,113
2021,3,Rouse,188,31,26,7,22,2,0,0,0,0,94
2021,3,Dave,200,27,33,7,20,5,0,0,0,0,103
2021,4,Boyce,273.5,46,44,7,32,1,0,0,0,0,124
2021,4,Ulmer,247,34,48,3,26,4,0,0,0,0,120
2021,4,Garth,211.5,35,34,4,29,4,0,0,0,0,93
2021,4,Chris,196.5,29,34,1,25,2,0,0,0,0,109
2021,4,Andy,257.5,47,38,3,31,6,0,0,0,0,125
2021,4,Sam,223.5,34,39,4,19,5,0,0,0,0,115
2021,4,Howard,228.5,38,39,1,29,2,0,0,0,0,113
2021,4,Rich,142,24,18,4,10,3,0,0,0,0,87
2021,4,Rouse,246.5,40,43,7,25,0,0,0,0,0,108
2021,4,Dave,271,50,35,5,21,7,0,0,0,0,153
2021,5,Boyce,244,50,34,4,23,4,0,0,0,0,109
2021,5,Ulmer,215,38,34,4,29,3,0,0,0,0,93
2021,5,Garth,180.5,30,29,1,31,3,0,0,0,0,86
2021,5,Chris,240.5,40,39,5,38,1,0,0,0,0,104
2021,5,Andy,216.5,38,29,4,53,4,0,0,0,0,88
2021,5,Sam,259.5,44,43,3,34,3,0,0,0,0,121
2021,5,Howard,212,39,30,3,26,4,0,0,0,0,106
2021,5,Rich,129.5,20,22,3,22,1,0,0,0,0,53
2021,5,Rouse,258.5,48,33,8,30,2,0,0,0,0,125
2021,5,Dave,200,26,36,4,33,3,0,0,0,0,98
2021,6,Boyce,223.5,39,32,5,26,2,0,0,0,0,110
2021,6,Ulmer,260.5,42,43,2,21,4,0,0,0,0,146
2021,6,Garth,225.5,40,33,2,30,0,0,0,0,0,120
2021,6,Chris,218.5,34,42,2,28,4,0,0,0,0,92
2021,6,Andy,248.5,40,44,4,22,4,0,0,0,0,118
2021,6,Sam,238.5,40,36,4,24,1,0,0,0,0,132
2021,6,Howard,220.5,32,41,4,33,2,0,0,0,0,98
2021,6,Rich,141.5,25,20,4,16,3,0,0,0,0,68
2021,6,Rouse,225.5,40,29,8,38,6,0,0,0,0,99
2021,6,Dave,191.5,30,27,3,32,3,0,0,0,0,107
2021,7,Boyce,230.5,35,35,9,36,1,0,0,0,0,104
2021,7,Ulmer,263,43,47,1,27,1,0,0,0,0,131
2021,7,Garth,166.5,30,26,1,18,2,0,0,0,0,85
2021,7,Chris,226.5,38,35,1,30,1,0,0,0,0,125
2021,7,Andy,303,48,51,7,35,2,0,0,0,0,144
2021,7,Sam,206,30,34,1,20,3,0,0,0,0,127
2021,7,Howard,199.5,33,35,2,19,5,0,0,0,0,93
2021,7,Rich,167,29,26,2,19,1,0,0,0,0,81
2021,7,Rouse,216,38,33,4,33,0,0,0,0,0,98
2021,7,Dave,267,45,45,4,18,3,0,0,0,0,136
2021,8,Boyce,231,36,35,8,42,2,0,0,0,0,99
2021,8,Ulmer,185,32,32,2,17,6,0,0,0,0,83
2021,8,Garth,160.5,22,29,1,31,1,0,0,0,0,79
2021,8,Chris,143,24,21,2,24,2,0,0,0,0,71
2021,8,Andy,202,38,29,3,33,2,0,0,0,0,89
2021,8,Sam,195.5,35,29,5,26,5,0,0,0,0,83
2021,8,Howard,152.5,26,26,1,18,2,0,0,0,0,73
2021,8,Rich,117.5,16,20,4,21,2,0,0,0,0,51
2021,8,Rouse,212,37,27,6,38,3,0,0,0,0,100
2021,8,Dave,191,27,34,7,23,3,0,0,0,0,84
2021,9,Boyce,208,37,30,4,25,2,0,0,0,0,104
2021,9,Ulmer,260.5,45,39,8,34,1,0,0,0,0,114
2021,9,Garth,130,23,18,1,21,1,0,0,0,0,69
2021,9,Chris,214,34,39,2,24,3,0,0,0,0,100
2021,9,Andy,242.5,43,36,4,26,2,0,0,0,0,124
2021,9,Sam,185.5,33,24,1,17,2,0,0,0,0,120
2021,9,Howard,262.5,38,49,3,28,4,0,0,0,0,132
2021,9,Rich,230.5,36,41,6,15,8,0,0,0,0,104
2021,9,Rouse,218.5,41,30,5,25,2,0,0,0,0,104
2021,9,Dave,195,34,33,4,17,1,0,0,0,0,88
2021,10,Boyce,267.5,40,44,9,31,1,0,0,0,0,127
2021,10,Ulmer,225,41,33,3,27,1,0,0,0,0,114
2021,10,Garth,209.5,39,33,0,21,3,0,0,0,0,107
2021,10,Chris,204,42,26,1,27,3,0,0,0,0,101
2021,10,Andy,246.5,44,37,3,32,6,0,0,0,0,118
2021,10,Sam,195.5,30,36,3,20,3,0,0,0,0,92
2021,10,Howard,229,38,35,3,23,3,0,0,0,0,127
2021,10,Rich,124,21,19,2,15,7,0,0,0,0,56
2021,10,Rouse,199.5,28,35,5,15,1,0,0,0,0,110
2021,10,Dave,146,22,26,0,22,6,0,0,0,0,71
2021,11,Boyce,256,36,50,2,33,0,0,0,0,0,125
2021,11,Ulmer,218,36,37,4,22,3,0,0,0,0,103
2021,11,Garth,216.5,36,32,2,25,2,0,0,0,0,125
2021,11,Chris,205.5,35,31,3,24,2,0,0,0,0,109
2021,11,Andy,245.5,37,43,2,28,2,0,0,0,0,131
